Letter|Code_word|US_Army_pro|ICAO_ITU_pro|FAA_pro
A|AlfaATIS:Alpha|AL fah|ALFAH|ALFAH orAL-FAH
B|Bravo|BRAH voh|BRAHVOH(1955:BRAHVOH)|BRAHVOH orBRAH-VO
C|Charlie|CHAR lee|CHARLEE|CHARLEE orCHAR-LEE
D|Delta|DEL tah|DELLTAH|DELLTAH orDELL-TAH
E|Echo|EKK oh|ECKOH|ECKOH orECK-OH
F|Foxtrot|FOKS trot|FOKSTROT|FOKSTROT orFOKS-TROT
G|Golf|Golf|GOLF|GOLF
H|Hotel|HO tell|HOHTELL|HOHTELLorHOH-TELL
I|India|IN dee ah|INDEE AH|INDEE AH orIN-DEE-AH
J|JulietATIS:Juliet|JEW lee ett|JEWLEEETT|JEWLEE ETT orJEW-LEE-ETT
K|Kilo|KEY loh|KEYLOH|KEYLOH orKEY-LOH
L|Lima|LEE mah|LEEMAH|LEEMAH orLEE-MAH
M|Mike|Mike|MIKE|MIKE
N|November|NOH vem ber|NOVEMBER|NOVEMBER orNO-VEM-BER
O|Oscar|OSS car|OSSCAH|OSS-SCAR orOSS-CAH
P|Papa|PAH pah|PAHPAH|PAHPAHorPAH-PAH
Q|Quebec|keh BECK|KEHBECK|KEHBECKorKWUH-BECK
R|Romeo|ROW me oh|ROWME OH|ROWME OH orROW-ME-OH
S|Sierra|see AIR ah|SEEAIRRAH|SEEAIRAH orSEE-AIR-AH
T|Tango|TANG go|TANGGO|TANGGO orTANG-GO
U|Uniform|YOU nee form|YOUNEE FORMorOONEE FORM|YOUNEE FORM orYOU-NEE-FORMorOO-NEE-FORM
V|Victor|VIK ter|VIKTAH|VIKTAH orVIK-TAH
W|Whiskey|WISS key|WISSKEY|WISSKEY orWISS-KEY
X|X-rayorXray|EKS ray|ECKSRAY|ECKSRAY  [sic] orECKS-RAY
Y|Yankee|YANG kee|YANGKEY|YANGKEY  [sic] orYANG-KEY
Z|Zulu|ZOO loo|ZOOLOO|ZOOLOO orZOO-LOO
